Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,47.59,47.869999,46.07,46.389999,845600,23.195,,1,2012
2012-01-04,45.970001,46.360001,45.66,45.84,896800,22.92,,1,2012
2012-01-05,45.470001,46.950001,44.93,46.900002,1515000,23.450001,,1,2012
2012-01-06,46.639999,49.389999,46.360001,49.099998,1110600,24.549999,,1,2012
2012-01-09,49.57,54.290001,49.57,52.799999,2738000,26.4,,1,2012
2012-01-10,53.52,54.759998,53.240002,54.439999,2645600,27.219999,,1,2012
2012-01-11,54.279999,55.639999,53.330002,55.619999,1617200,27.809999,,1,2012
2012-01-12,55.549999,56.279999,54.599998,55.349998,1201800,27.674999,,1,2012
2012-01-13,54.639999,56.119999,54.639999,55.720001,782400,27.860001,,1,2012
2012-01-17,54.919998,56.490002,53.400002,53.900002,1655200,26.950001,,1,2012
2012-01-18,53.009998,54.900002,53.0,54.060001,1636000,27.030001,,1,2012
2012-01-19,53.98,54.400002,51.709999,52.220001,1350000,26.110001,,1,2012
2012-01-20,52.290001,52.860001,50.110001,51.139999,1478200,25.57,,1,2012
2012-01-23,51.139999,52.459999,49.91,50.450001,1074200,25.225,,1,2012
2012-01-24,50.330002,52.599998,50.200001,52.549999,1364000,26.275,66.5058914242,1,2012
2012-01-25,52.639999,54.790001,51.849998,54.720001,1320600,27.360001,70.2337330792,1,2012
2012-01-26,55.32,55.32,53.5,54.310001,757000,27.155001,68.6784203146,1,2012
2012-01-27,54.009998,55.580002,53.380001,54.970001,772400,27.485001,69.8363973761,1,2012
2012-01-30,54.459999,56.119999,54.23,54.869999,1624000,27.434999,69.4176191118,1,2012
2012-01-31,56.220001,56.869999,55.119999,55.41,1614400,27.705,70.4481239655,1,2012
2012-02-01,65.099998,70.870003,63.119999,67.57,7914000,33.785,83.7372366002,1,2012
2012-02-02,67.580002,70.949997,66.790001,70.260002,3150400,35.130001,85.3108933911,1,2012
2012-02-03,72.690002,74.370003,70.57,73.93,3258000,36.965,87.1393199408,1,2012
2012-02-06,72.769997,76.650002,72.730003,74.410004,1758200,37.205002,87.360915707,1,2012
2012-02-07,73.230003,73.470001,69.769997,71.639999,2257400,35.82,78.9109487199,1,2012
2012-02-08,71.879997,71.879997,67.639999,68.68,2123000,34.34,71.0071492995,1,2012
2012-02-09,68.970001,70.470001,68.019997,68.709999,1071200,34.355,71.0388106376,1,2012
2012-02-10,67.910004,68.25,67.019997,67.93,1415000,33.965,68.9310971761,1,2012
2012-02-13,69.089996,70.459999,68.150002,69.830002,930800,34.915001,71.17464193,1,2012
2012-02-14,69.260002,71.349998,68.160004,68.860001,1441000,34.43,68.4567730631,1,2012
2012-02-15,67.949997,69.330002,67.410004,67.959999,893400,33.98,65.9407665422,1,2012
2012-02-16,68.260002,68.5,67.25,67.419998,474600,33.709999,64.4111109076,1,2012
2012-02-17,67.739998,68.169998,65.660004,66.050003,1116800,33.025002,60.5720921509,1,2012
2012-02-21,66.220001,66.32,61.82,63.130001,3023200,31.565001,53.2826480204,1,2012
2012-02-22,63.27,65.550003,62.59,65.080002,1433400,32.540001,57.0038839815,1,2012
2012-02-23,65.129997,66.860001,64.800003,65.349998,916000,32.674999,57.5085659421,1,2012
2012-02-24,65.230003,66.019997,63.560001,65.010002,879200,32.505001,56.6074854654,1,2012
2012-02-27,65.25,67.599998,64.010002,67.040001,1365000,33.52,60.5790748415,1,2012
